Product ID*;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop
1329;"Größe 32 - 34 - 36 - 38:select:1";32:1;_7207_multi_white_black_free;;;;0.000000;0.000000;0.00;0;1;0;1;;;0;
1330;"Größe 32 - 34 - 36 - 38:select:1";34:1;_8321_multi_grey_free2;;;;0.000000;0.000000;0.00;0;1;0;0;;;0;
1330;"Größe 32 - 34 - 36 - 38:select:1";36:1;_8321_multi_grey_free3;;;;0.000000;0.000000;0.00;0;1;0;0;;;0;
1330;"Größe 32 - 34 - 36 - 38:select:1";38:1;_8321_multi_grey_free4;;;;0.000000;0.000000;0.00;0;1;0;0;;;0;
1330;"Größe 32 - 34 - 36 - 38:select:1";32:1;_8321_multi_grey_free;;;;0.000000;0.000000;0.00;0;1;0;1;;;0;
1331;"Größe 32 - 34 - 36 - 38:select:1";34:1;_0618_multi_grey_free2;;;;0.000000;0.000000;0.00;0;1;0;0;;;0;
1331;"Größe 32 - 34 - 36 - 38:select:1";36:1;_0618_multi_grey_free3;;;;0.000000;0.000000;0.00;0;1;0;0;;;0;
1331;"Größe 32 - 34 - 36 - 38:select:1";38:1;_0618_multi_grey_free4;;;;0.000000;0.000000;0.00;0;1;0;0;;;0;
1331;"Größe 32 - 34 - 36 - 38:select:1";32:1;_0618_multi_grey_free;;;;0.000000;0.000000;0.00;0;1;0;1;;;0;
1332;"Größe 32 - 34 - 36 - 38:select:1";34:1;_0618_multi_black_free2;;;;0.000000;0.000000;0.00;0;1;0;0;;;0;
1332;"Größe 32 - 34 - 36 - 38:select:1";36:1;_0618_multi_black_free3;;;;0.000000;0.000000;0.00;0;1;0;0;;;0;
1332;"Größe 32 - 34 - 36 - 38:select:1";38:1;_0618_multi_black_free4;;;;0.000000;0.000000;0.00;0;1;0;0;;;0;
1332;"Größe 32 - 34 - 36 - 38:select:1";32:1;_0618_multi_black_free;;;;0.000000;0.000000;0.00;0;1;0;1;;;0;
1333;"Größe 32 - 34 - 36 - 38:select:1";34:1;_0618_multi_brown_free2;;;;0.000000;0.000000;0.00;0;1;0;0;;;0;
1333;"Größe 32 - 34 - 36 - 38:select:1";36:1;_0618_multi_brown_free3;;;;0.000000;0.000000;0.00;0;1;0;0;;;0;
1333;"Größe 32 - 34 - 36 - 38:select:1";38:1;_0618_multi_brown_free4;;;;0.000000;0.000000;0.00;0;1;0;0;;;0;
1333;"Größe 32 - 34 - 36 - 38:select:1";32:1;_0618_multi_brown_free;;;;0.000000;0.000000;0.00;0;1;0;1;;;0;
