Product ID*;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop
825;"Größe 32 - 34 - 36 - 38:select:1";36:1;VIP-0051_greyblue_36;;;;43.000000;0.000000;0.00;3;1;0;0;;;0;
825;"Größe 32 - 34 - 36 - 38:select:1";40:1;VIP-0051_greyblue_40;;;;43.000000;0.000000;0.00;3;0;0;0;;;0;
825;"Größe 32 - 34 - 36 - 38:select:1";38:1;VIP-0051_greyblue_38;;;;43.000000;0.000000;0.00;3;0;0;0;;;0;
825;"Größe 32 - 34 - 36 - 38:select:1";34:1;VIP-0051_greyblue_34;;;;43.000000;0.000000;0.00;3;1;0;1;;;0;
826;"Größe 32 - 34 - 36 - 38:select:1";36:1;VIP-0050_taupe_36;;4250781849244;;44.000000;0.000000;0.00;3;1;0;0;;;0;
826;"Größe 32 - 34 - 36 - 38:select:1";40:1;VIP-0050_taupe_40;;4250781849268;;44.000000;0.000000;0.00;3;0;0;0;;;0;
826;"Größe 32 - 34 - 36 - 38:select:1";38:1;VIP-0050_taupe_38;;4250781849251;;44.000000;0.000000;0.00;3;0;0;0;;;0;
826;"Größe 32 - 34 - 36 - 38:select:1";34:1;VIP-0050_taupe_34;;4250781849237;;44.000000;0.000000;0.00;3;1;0;1;;;0;
827;"Größe 32 - 34 - 36 - 38:select:1";36:1;VIP-0053_beige_36;;4250781849404;;58.000000;0.000000;0.00;3;1;0;0;;;0;
827;"Größe 32 - 34 - 36 - 38:select:1";40:1;VIP-0053_beige_40;;4250781849428;;58.000000;0.000000;0.00;3;0;0;0;;;0;
827;"Größe 32 - 34 - 36 - 38:select:1";38:1;VIP-0053_beige_38;;4250781849411;;58.000000;0.000000;0.00;3;0;0;0;;;0;
827;"Größe 32 - 34 - 36 - 38:select:1";34:1;VIP-0053_beige_34;;4250781849398;;58.000000;0.000000;0.00;3;1;0;1;;;0;
828;"Größe 32 - 34 - 36 - 38:select:1";34:1;VIP-0025_pink_34;;4250781849596;;36.000000;0.000000;0.00;3;1;0;1;;;0;
828;"Größe 32 - 34 - 36 - 38:select:1";36:1;VIP-0025_pink_36;;4250781849602;;36.000000;0.000000;0.00;3;1;0;0;;;0;
828;"Größe 32 - 34 - 36 - 38:select:1";40:1;VIP-0025_pink_40;;4250781849626;;36.000000;0.000000;0.00;3;0;0;0;;;0;
828;"Größe 32 - 34 - 36 - 38:select:1";38:1;VIP-0025_pink_38;;4250781849619;;36.000000;0.000000;0.00;3;0;0;0;;;0;
829;"Größe 32 - 34 - 36 - 38:select:1";36:1;VIP-0032_pink_36;;;;49.000000;0.000000;0.00;3;1;0;0;;;0;
829;"Größe 32 - 34 - 36 - 38:select:1";34:1;VIP-0032_pink_34;;;;49.000000;0.000000;0.00;3;1;0;1;;;0;
829;"Größe 32 - 34 - 36 - 38:select:1";40:1;VIP-0032_pink_40;;;;49.000000;0.000000;0.00;3;0;0;0;;;0;
829;"Größe 32 - 34 - 36 - 38:select:1";38:1;VIP-0032_pink_38;;;;49.000000;0.000000;0.00;3;0;0;0;;;0;
830;"Größe 32 - 34 - 36 - 38:select:1";36:1;VIP-0043_green_36;;4250781849688;;39.000000;0.000000;0.00;3;1;0;0;;;0;
830;"Größe 32 - 34 - 36 - 38:select:1";40:1;VIP-0043_green_40;;4250781849701;;39.000000;0.000000;0.00;3;0;0;0;;;0;
830;"Größe 32 - 34 - 36 - 38:select:1";38:1;VIP-0043_green_38;;4250781849695;;39.000000;0.000000;0.00;3;0;0;0;;;0;
830;"Größe 32 - 34 - 36 - 38:select:1";34:1;VIP-0043_green_34;;4250781849671;;39.000000;0.000000;0.00;3;1;0;1;;;0;
831;"Größe 32 - 34 - 36 - 38:select:1";36:1;VIP-0051_champagner_36;;4250781849725;;43.000000;0.000000;0.00;3;1;0;0;;;0;
