"0378_Ice Green";52.000000;119.000000
"0351_Rio Red";69.000000;149.000000
"0353_Rio Red";47.000000;99.000000
"0326_Apple Mint";45.000000;89.000000
"0350_Rio Red";58.000000;129.000000
"0326_Rio Red";45.000000;89.000000
"0326_Dawn Pink";45.000000;89.000000
"0327_French Vanilla";53.000000;119.000000
"0327_Dawn Pink";53.000000;119.000000
"0327_Twilight Blue";53.000000;119.000000
"0348_Dawn Pink";37.000000;79.000000
"0327_Moonlight Jade";53.000000;119.000000
"0348_Rio Red";37.000000;79.000000
"0328_Ice Blue";65.000000;139.000000
"0348_Twilight Blue";37.000000;79.000000
"0328_Pearl Pink";65.000000;139.000000
"0347_Twilight Blue";69.000000;149.000000
"0328_Virtual Red";65.000000;139.000000
"0347_Snow White";69.000000;149.000000
"0329_Snow White";88.000000;169.000000
0346_Gold;52.000000;129.000000
"0329_Ghost Grey";88.000000;169.000000
"0346_Ghost Grey";52.000000;129.000000
"0329_Phantom Black";88.000000;169.000000
"0345_Rio Red";50.000000;119.000000
"0329_Night Beige";88.000000;169.000000
"0345_Twilight Blue";50.000000;119.000000
"0330_Twilight Blue";62.000000;139.000000
"0345_Geranium Pink";50.000000;119.000000
"0330_Dawn Pink";62.000000;139.000000
"0344_Pearl Pink";75.000000;145.000000
"0330_Virtual Red";62.000000;139.000000
"0344_Dusk Grey";75.000000;145.000000
"0330_Moonlight Jade";62.000000;139.000000
"0344_Rio Red";75.000000;145.000000
"0331_Aqua Blue";55.000000;125.000000
"0343_Rio Red";65.000000;139.000000
"0377_Phantom Black";65.000000;139.000000
"0342_Aqua Blue";78.000000;149.000000
"0332_Rio Red";47.000000;109.000000
"0341_Aqua Blue";57.000000;119.000000
"0332_Twilight Blue";47.000000;109.000000
"0341_Royal Lilac";57.000000;119.000000
"0332_Pearl Pink";47.000000;109.000000
"0340_Galapagos Green";66.000000;139.000000
"0333_Rio Red";62.000000;139.000000
"0340_Twilight Blue";66.000000;139.000000
"0333_Virtual Red";62.000000;139.000000
"0378_Pearl Pink";52.000000;119.000000
0333_Champagne;62.000000;139.000000
"0376_Pearl Pink";78.000000;159.000000
"0333_Twilight Blue";62.000000;139.000000
"0375_Twilight Blue";39.000000;75.000000
"0334_Cloud Grey";85.000000;159.000000
"0375_Dawn Pink";39.000000;75.000000
