ID;Aktiv;Image;Preis inkl. Steuern;Einkaufspreis;Hersteller-Artikelnummer.;Auf Lager;Name;Lieferant;Standort;Preis inklusive % Reduktion;Reduktion %;Reduktionshöhe;Preis inklusive Reduktion;Rabatt startet;Rabattende;Preis exklusive Steuern;Pos.;Steuerregel
3660;Nein;--;165.41;66.00;0340_Galapagos Green;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;139.00;-;19%
3597;Nein;--;165.41;62.00;0333_Rio Red;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;139.00;-;19%
3661;Nein;--;165.41;66.00;0340_Twilight Blue;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;139.00;-;19%
3596;Nein;--;165.41;62.00;0333_Virtual Red;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;139.00;-;19%
3769;Nein;--;141.61;52.00;0378_Pearl Pink;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;119.00;-;19%
3595;Nein;--;165.41;62.00;0333_Champagne;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;139.00;-;19%
3664;Nein;--;189.21;78.00;0376_Pearl Pink;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;159.00;-;19%
3594;Nein;--;165.41;62.00;0333_Twilight Blue;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;139.00;-;19%
3665;Nein;--;89.25;39.00;0375_Twilight Blue;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;75.00;-;19%
3593;Nein;--;189.21;85.00;0334_Cloud Grey;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;159.00;-;19%
3666;Nein;--;89.25;39.00;0375_Dawn Pink;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;75.00;-;19%
3592;Nein;--;189.21;85.00;0334_Aqua Blue;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;159.00;-;19%
3667;Nein;--;89.25;39.00;0375_French Vanilla;0;-1;CK-C; ;0.00;0.00;0.00;0.00; ; ;75.00;-;19%
